127.0.0.1, 2015-03-04 15:11:14, GET, /todo/static/pages/main/main.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:11:55, GET, /todo/static/index.html, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 15:12:22, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
